"title","link","year","rating","n_ratings","genre","cert","country","lang","budget","opening_week","runtime"
"#Realityhigh","http://www.imdb.com/title/tt6119504/?ref_=adv_li_tt",2017,5.2,5494," Comedy, Drama, Romance","15","USA","English",NA,NA,99
"#Alive","http://www.imdb.com/title/tt10620868/?ref_=adv_li_tt",2020,6.2,20504," Action, Drama, Horror, Thriller","15","South Korea","Korean",NA,NA,98
"'71","http://www.imdb.com/title/tt2614684/?ref_=adv_li_tt",2014,7.2,50474," Action, Crime, Drama, Thriller, War","15","UK","English",NA,55761,99
"Shadow Walkers","http://www.imdb.com/title/tt2395385/?ref_=adv_li_tt",2013,5.5,7715," Romance, Sci-Fi, Thriller","15","USA","English",NA,NA,96
"1 - Nenokkadine","http://www.imdb.com/title/tt2375559/?ref_=adv_li_tt",2014,8.1,42771," Action, Thriller","15","India","Telugu",10990000,NA,170
"10 Cloverfield Lane","http://www.imdb.com/title/tt1179933/?ref_=adv_li_tt",2016,7.2,286747," Action, Drama, Horror, Mystery, Sci-Fi, Thriller","12A","USA","English",1.5e+07,24727437,103
"10 Years","http://www.imdb.com/title/tt1715873/?ref_=adv_li_tt",2011,6.1,23582," Comedy, Drama, Romance","12","USA","English",NA,22707,110
"10,000 Saints","http://www.imdb.com/title/tt3397754/?ref_=adv_li_tt",2015,5.9,5283," Comedy, Drama, Music","15","USA","English",NA,NA,113
"102 Not Out","http://www.imdb.com/title/tt6580564/?ref_=adv_li_tt",2018,7.5,6342," Comedy, Drama","12A","India","Hindi",NA,483681,102
"10x10","http://www.imdb.com/title/tt6210996/?ref_=adv_li_tt",2018,5.1,7282," Drama, Thriller","15","UK","English",NA,1430,88
"666: The Prophecy","http://www.imdb.com/title/tt1712159/?ref_=adv_li_tt",2011,3.9,11978," Horror, Mystery, Thriller","15","USA,Spain","English,Spanish",NA,32771,NA
"12 Feet Deep","http://www.imdb.com/title/tt5143226/?ref_=adv_li_tt",2017,5.5,11799," Horror, Thriller","","USA","English",NA,NA,85
"12 Rounds 2: Reloaded","http://www.imdb.com/title/tt2317524/?ref_=adv_li_tt",2013,5.3,5218," Action, Adventure, Thriller","15","USA","English",4e+06,NA,95
"12 Strong","http://www.imdb.com/title/tt1413492/?ref_=adv_li_tt",2018,6.6,66209," Action, Drama, History, War","15","USA","English,Dari,Russian,Spanish,Uzbek",3.5e+07,15815025,130
"12 Years a Slave","http://www.imdb.com/title/tt2024544/?ref_=adv_li_tt",2013,8.1,631572," Biography, Drama, History","15","USA,UK","English",2e+07,923715,134
"120 BPM (Beats Per Minute)","http://www.imdb.com/title/tt6135348/?ref_=adv_li_tt",2017,7.4,13006," Drama","15","France","French",NA,8566,143
"127 Hours","http://www.imdb.com/title/tt1542344/?ref_=adv_li_tt",2010,7.5,344711," Adventure, Biography, Drama","15","USA,UK,France","English,Italian",1.8e+07,264851,94
"13","http://www.imdb.com/title/tt0798817/?ref_=adv_li_tt",2010,6.1,40106," Crime, Drama, Thriller","15","USA","English",NA,NA,91
"13 Hours","http://www.imdb.com/title/tt4172430/?ref_=adv_li_tt",2016,7.3,116785," Action, Drama, History, War","15","Malta,Morocco,USA","English,Arabic",5e+07,16194738,144
"13 Sins","http://www.imdb.com/title/tt2059171/?ref_=adv_li_tt",2014,6.3,33151," Horror, Thriller","15","USA","English",4e+06,9261,93
"1917","http://www.imdb.com/title/tt8579674/?ref_=adv_li_tt",2019,8.3,390290," Drama, War","15","USA,UK,India,Spain,Canada,China","English,French,German",9.5e+07,576216,119
"1922","http://www.imdb.com/title/tt6214928/?ref_=adv_li_tt",2017,6.3,51706," Crime, Drama, Horror, Mystery, Thriller","15","USA","English",NA,NA,102
"1BR","http://www.imdb.com/title/tt7541106/?ref_=adv_li_tt",2019,5.8,7389," Drama, Horror, Thriller","15","USA","English",NA,NA,90
"2 Days in New York","http://www.imdb.com/title/tt1602472/?ref_=adv_li_tt",2012,6,13867," Comedy, Drama, Romance","15","France,Germany,Belgium","English,French,Italian",8e+06,23942,96
"2 Guns","http://www.imdb.com/title/tt1272878/?ref_=adv_li_tt",2013,6.7,194473," Action, Crime, Thriller","15","USA","English,Spanish",6.1e+07,27059130,109
"2 States","http://www.imdb.com/title/tt2372678/?ref_=adv_li_tt",2014,6.9,23211," Comedy, Drama, Romance","PG","India","Hindi",NA,1073898,149
"2.0","http://www.imdb.com/title/tt5080556/?ref_=adv_li_tt",2018,6.3,20697," Action, Sci-Fi","12A","India","Hindi,Tamil",NA,2775000,148
"It Boy","http://www.imdb.com/title/tt2186812/?ref_=adv_li_tt",2013,6.4,8719," Comedy, Romance","","France","French,English",NA,NA,92
"2036 Origin Unknown","http://www.imdb.com/title/tt4575328/?ref_=adv_li_tt",2018,4.4,7298," Action, Sci-Fi, Thriller","12","UK","English",NA,NA,94
"20th Century Women","http://www.imdb.com/title/tt4385888/?ref_=adv_li_tt",2016,7.3,39351," Comedy, Drama","15","USA","English",7e+06,111200,119
"21 & Over","http://www.imdb.com/title/tt1711425/?ref_=adv_li_tt",2013,5.8,71612," Comedy","15","USA","English,Spanish",1.3e+07,8754168,93
"21 Bridges","http://www.imdb.com/title/tt8688634/?ref_=adv_li_tt",2019,6.6,45168," Action, Crime, Thriller","15","China,USA","English",3.3e+07,9261268,99
"21 Jump Street","http://www.imdb.com/title/tt1232829/?ref_=adv_li_tt",2012,7.2,506075," Action, Comedy, Crime","15","USA","English",4.2e+07,36302612,109
"211","http://www.imdb.com/title/tt4976192/?ref_=adv_li_tt",2018,4.4,6734," Action, Crime, Drama","15","USA,Bulgaria","English",NA,NA,86
"22 July","http://www.imdb.com/title/tt7280898/?ref_=adv_li_tt",2018,6.8,27163," Crime, Drama, History, Thriller","15","Norway,Iceland,USA","English,Norwegian",2e+07,NA,143
