title,year,rating,genre,country
'71,2014,7.2,Action,UK
#Realityhigh,2017,5.2,Comedy,USA
10 Cloverfield Lane,2016,7.2,Action,USA
10 Years,2011,6.1,Comedy,USA
"10,000 Saints",2015,5.9,Comedy,USA
10x10,2018,5.1,Drama,UK
12 Feet Deep,2017,5.5,Horror,USA
12 Rounds 2: Reloaded,2013,5.3,Action,USA
12 Strong,2018,6.6,Action,USA
12 Years a Slave,2013,8.1,Biography,USA
127 Hours,2010,7.5,Adventure,USA
13,2010,6.1,Crime,USA
13 Hours,2016,7.3,Action,Malta
13 Sins,2014,6.3,Horror,USA
1917,2019,8.3,Drama,USA
1922,2017,6.3,Crime,USA
1BR,2019,5.8,Drama,USA
2 Days in New York,2012,6,Comedy,France
2 Guns,2013,6.7,Action,USA
2:22,2017,5.8,Drama,Australia
2036 Origin Unknown,2018,4.4,Action,UK
20th Century Women,2016,7.3,Comedy,USA
21 & Over,2013,5.8,Comedy,USA
21 Bridges,2019,6.6,Action,China
21 Jump Street,2012,7.2,Action,USA
211,2018,4.4,Action,USA
22 July,2018,6.8,Crime,Norway
22 Jump Street,2014,7,Action,USA
24 Hours to Live,2017,5.8,Action,South Africa
247°F,2011,4.9,Horror,Georgia
3 Days to Kill,2014,6.2,Action,USA
3 from Hell,2019,5.5,Action,USA
3 Generations,2015,5.9,Drama,USA
30 Minutes or Less,2011,6.1,Action,USA
300: Rise of an Empire,2014,6.2,Action,USA
303,2018,7.5,Comedy,Germany
3096 Days,2013,6.5,Biography,Germany
31,2016,5.1,Horror,UK
360,2011,6.2,Drama,UK
365 Days,2020,3.3,Drama,Poland
4:44 Last Day on Earth,2011,4.6,Drama,USA
4.3.2.1.,2010,5.8,Crime,UK
400 Days,2015,4.4,Mystery,USA
42,2013,7.5,Biography,USA
45 Years,2015,7.1,Drama,UK
47 Meters Down,2017,5.6,Adventure,UK
47 Meters Down: Uncaged,2019,5,Adventure,UK
47 Ronin,2013,6.3,Action,USA
5 Days of War,2011,5.6,Action,Georgia
5 to 7,2014,7.1,Comedy,USA
50/50,2011,7.6,Comedy,USA
6 Below,2017,5.7,Adventure,USA
6 Bullets,2012,6.1,Action,USA
6 Days,2017,6.2,Action,New Zealand
6 Souls,2010,6.1,Horror,USA
6 Underground,2019,6.1,Action,USA
6 Years,2015,5.6,Drama,USA
