title,link,year,rating,n_ratings,genre,cert,country,lang,budget,opening_week,runtime,continent,region
#Realityhigh,http://www.imdb.com/title/tt6119504/?ref_=adv_li_tt,2017,5.2,5494,Comedy,15,USA,English,NA,NA,99,Americas,North America
#Realityhigh,http://www.imdb.com/title/tt6119504/?ref_=adv_li_tt,2017,5.2,5494,Drama,15,USA,English,NA,NA,99,Americas,North America
#Realityhigh,http://www.imdb.com/title/tt6119504/?ref_=adv_li_tt,2017,5.2,5494,Romance,15,USA,English,NA,NA,99,Americas,North America
#Alive,http://www.imdb.com/title/tt10620868/?ref_=adv_li_tt,2020,6.2,20504,Action,15,South Korea,Korean,NA,NA,98,Asia,East Asia & Pacific
#Alive,http://www.imdb.com/title/tt10620868/?ref_=adv_li_tt,2020,6.2,20504,Drama,15,South Korea,Korean,NA,NA,98,Asia,East Asia & Pacific
#Alive,http://www.imdb.com/title/tt10620868/?ref_=adv_li_tt,2020,6.2,20504,Horror,15,South Korea,Korean,NA,NA,98,Asia,East Asia & Pacific
#Alive,http://www.imdb.com/title/tt10620868/?ref_=adv_li_tt,2020,6.2,20504,Thriller,15,South Korea,Korean,NA,NA,98,Asia,East Asia & Pacific
'71,http://www.imdb.com/title/tt2614684/?ref_=adv_li_tt,2014,7.2,50474,Action,15,UK,English,NA,55761,99,Europe,Europe & Central Asia
'71,http://www.imdb.com/title/tt2614684/?ref_=adv_li_tt,2014,7.2,50474,Crime,15,UK,English,NA,55761,99,Europe,Europe & Central Asia
'71,http://www.imdb.com/title/tt2614684/?ref_=adv_li_tt,2014,7.2,50474,Drama,15,UK,English,NA,55761,99,Europe,Europe & Central Asia
'71,http://www.imdb.com/title/tt2614684/?ref_=adv_li_tt,2014,7.2,50474,Thriller,15,UK,English,NA,55761,99,Europe,Europe & Central Asia
'71,http://www.imdb.com/title/tt2614684/?ref_=adv_li_tt,2014,7.2,50474,War,15,UK,English,NA,55761,99,Europe,Europe & Central Asia
Shadow Walkers,http://www.imdb.com/title/tt2395385/?ref_=adv_li_tt,2013,5.5,7715,Romance,15,USA,English,NA,NA,96,Americas,North America
Shadow Walkers,http://www.imdb.com/title/tt2395385/?ref_=adv_li_tt,2013,5.5,7715,Sci-Fi,15,USA,English,NA,NA,96,Americas,North America
Shadow Walkers,http://www.imdb.com/title/tt2395385/?ref_=adv_li_tt,2013,5.5,7715,Thriller,15,USA,English,NA,NA,96,Americas,North America
1 - Nenokkadine,http://www.imdb.com/title/tt2375559/?ref_=adv_li_tt,2014,8.1,42771,Action,15,India,Telugu,10990000,NA,170,Asia,South Asia
1 - Nenokkadine,http://www.imdb.com/title/tt2375559/?ref_=adv_li_tt,2014,8.1,42771,Thriller,15,India,Telugu,10990000,NA,170,Asia,South Asia
10 Cloverfield Lane,http://www.imdb.com/title/tt1179933/?ref_=adv_li_tt,2016,7.2,286747,Action,12A,USA,English,15000000,24727437,103,Americas,North America
10 Cloverfield Lane,http://www.imdb.com/title/tt1179933/?ref_=adv_li_tt,2016,7.2,286747,Drama,12A,USA,English,15000000,24727437,103,Americas,North America
10 Cloverfield Lane,http://www.imdb.com/title/tt1179933/?ref_=adv_li_tt,2016,7.2,286747,Horror,12A,USA,English,15000000,24727437,103,Americas,North America
